date,hour,day_of_week,pickup_community_area,demand,temperature,zone_name,is_holiday
2023-03-26,4,1,58,0,3.3,BRIGHTON PARK,1
2023-03-26,4,1,33,0,3.3,NEAR SOUTH SIDE,1
2023-03-26,4,1,11,0,3.3,JEFFERSON PARK,1
2023-03-26,4,1,68,0,3.3,ENGLEWOOD,1
2023-03-26,4,1,71,0,3.3,AUBURN GRESHAM,1
2023-03-26,4,1,14,0,3.3,ALBANY PARK,1
2023-03-26,4,1,42,0,3.3,WOODLAWN,1
2023-03-26,4,1,2,0,3.3,WEST RIDGE,1
2023-03-26,4,1,30,0,3.3,SOUTH LAWNDALE,1
2023-03-26,4,1,66,0,3.3,CHICAGO LAWN,1
2023-03-26,4,1,46,0,3.3,SOUTH CHICAGO,1
2023-03-26,4,1,67,0,3.3,WEST ENGLEWOOD,1
2023-03-26,4,1,18,0,3.3,MONTCLARE,1
2023-03-26,4,1,74,0,3.3,MOUNT GREENWOOD,1
2023-03-26,4,1,36,0,3.3,OAKLAND,1
2023-03-26,5,1,31,0,3.3,LOWER WEST SIDE,1
2023-03-26,5,1,65,0,3.3,WEST LAWN,1
2023-03-26,5,1,53,0,3.3,WEST PULLMAN,1
2023-03-26,5,1,34,0,3.3,ARMOUR SQUARE,1
2023-03-26,5,1,28,0,3.3,NEAR WEST SIDE,1
2023-03-26,5,1,76,0,3.3,OHARE,1
2023-03-26,5,1,27,0,3.3,EAST GARFIELD PARK,1
2023-03-26,5,1,26,0,3.3,WEST GARFIELD PARK,1
2023-03-26,5,1,44,0,3.3,CHATHAM,1
2023-03-26,5,1,12,0,3.3,FOREST GLEN,1
2023-03-26,5,1,22,0,3.3,LOGAN SQUARE,1
2023-03-26,5,1,47,0,3.3,BURNSIDE,1
2023-03-26,5,1,1,0,3.3,ROGERS PARK,1
2023-03-26,5,1,52,0,3.3,EAST SIDE,1
2023-03-26,5,1,13,0,3.3,NORTH PARK,1
2023-03-26,5,1,6,0,3.3,LAKE VIEW,1
2023-03-26,5,1,16,0,3.3,IRVING PARK,1
2023-03-26,5,1,3,0,3.3,UPTOWN,1
2023-03-26,5,1,40,0,3.3,WASHINGTON PARK,1
2023-03-26,5,1,20,0,3.3,HERMOSA,1
2023-03-26,5,1,57,0,3.3,ARCHER HEIGHTS,1
2023-03-26,5,1,54,0,3.3,RIVERDALE,1
2023-03-26,5,1,48,0,3.3,CALUMET HEIGHTS,1
2023-03-26,5,1,5,0,3.3,NORTH CENTER,1
2023-03-26,5,1,19,0,3.3,BELMONT CRAGIN,1
2023-03-26,5,1,64,0,3.3,CLEARING,1
2023-03-26,5,1,41,0,3.3,HYDE PARK,1
2023-03-26,5,1,43,0,3.3,SOUTH SHORE,1
2023-03-26,5,1,15,0,3.3,PORTAGE PARK,1
2023-03-26,5,1,37,0,3.3,FULLER PARK,1
2023-03-26,5,1,61,0,3.3,NEW CITY,1
2023-03-26,5,1,17,0,3.3,DUNNING,1
2023-03-26,5,1,9,0,3.3,EDISON PARK,1
2023-03-26,5,1,72,0,3.3,BEVERLY,1
2023-03-26,5,1,35,0,3.3,DOUGLAS,1
2023-03-26,5,1,4,0,3.3,LINCOLN SQUARE,1
2023-03-26,5,1,55,0,3.3,HEGEWISCH,1
2023-03-26,5,1,59,0,3.3,MCKINLEY PARK,1
2023-03-26,5,1,8,0,3.3,NEAR NORTH SIDE,1
2023-03-26,5,1,23,0,3.3,HUMBOLDT PARK,1
2023-03-26,5,1,39,0,3.3,KENWOOD,1
2023-03-26,5,1,49,0,3.3,ROSELAND,1
2023-03-26,5,1,7,0,3.3,LINCOLN PARK,1
2023-03-26,5,1,51,0,3.3,SOUTH DEERING,1
2023-03-26,5,1,69,0,3.3,GREATER GRAND CROSSING,1
2023-03-26,5,1,63,0,3.3,GAGE PARK,1
2023-03-26,5,1,77,0,3.3,EDGEWATER,1
2023-03-26,5,1,10,0,3.3,NORWOOD PARK,1
2023-03-26,5,1,50,0,3.3,PULLMAN,1
2023-03-26,5,1,45,0,3.3,AVALON PARK,1
2023-03-26,5,1,38,0,3.3,GRAND BOULEVARD,1
2023-03-26,5,1,25,0,3.3,AUSTIN,1
2023-03-26,5,1,73,0,3.3,WASHINGTON HEIGHTS,1
2023-03-26,5,1,24,0,3.3,WEST TOWN,1
2023-03-26,5,1,70,0,3.3,ASHBURN,1
2023-03-26,5,1,62,0,3.3,WEST ELSDON,1
2023-03-26,5,1,29,0,3.3,NORTH LAWNDALE,1
2023-03-26,5,1,21,0,3.3,AVONDALE,1
2023-03-26,5,1,32,0,3.3,LOOP,1
2023-03-26,5,1,60,0,3.3,BRIDGEPORT,1
2023-03-26,5,1,75,0,3.3,MORGAN PARK,1
2023-03-26,5,1,56,0,3.3,GARFIELD RIDGE,1
2023-03-26,5,1,58,0,3.3,BRIGHTON PARK,1
2023-03-26,5,1,33,0,3.3,NEAR SOUTH SIDE,1
2023-03-26,5,1,11,0,3.3,JEFFERSON PARK,1
